beer_style,review_overall
Altbier,3.82
American Adjunct Lager,3.0
American Amber / Red Ale,3.78
American Amber / Red Lager,3.56
American Barleywine,3.9
American Black Ale,3.93
American Blonde Ale,3.59
American Brown Ale,3.86
American Dark Wheat Ale,3.64
American Double / Imperial IPA,4.0
American Double / Imperial Pilsner,3.86
American Double / Imperial Stout,4.03
American IPA,3.97
American Malt Liquor,2.68
American Pale Ale (APA),3.85
American Pale Lager,3.41
American Pale Wheat Ale,3.65
American Porter,3.9
American Stout,3.87
American Strong Ale,3.87
American Wild Ale,4.09
Baltic Porter,3.96
Belgian Dark Ale,3.75
Belgian IPA,3.96
Belgian Pale Ale,3.82
Belgian Strong Dark Ale,3.91
Belgian Strong Pale Ale,3.9
Berliner Weissbier,3.9
Bière de Champagne / Bière Brut,3.65
Bière de Garde,3.88
Black & Tan,3.49
Bock,3.65
Braggot,3.65
California Common / Steam Beer,3.85
Chile Beer,3.11
Cream Ale,3.6
Czech Pilsener,3.79
Doppelbock,3.87
Dortmunder / Export Lager,3.83
Dubbel,3.92
Dunkelweizen,3.86
Eisbock,3.98
English Barleywine,3.85
English Bitter,3.78
English Brown Ale,3.76
English Dark Mild Ale,3.84
English India Pale Ale (IPA),3.73
English Pale Ale,3.69
English Pale Mild Ale,3.66
English Porter,3.92
English Stout,3.75
English Strong Ale,3.78
Euro Dark Lager,3.41
Euro Pale Lager,3.2
Euro Strong Lager,2.86
Extra Special / Strong Bitter (ESB),3.85
Faro,3.6
Flanders Oud Bruin,3.9
Flanders Red Ale,3.99
Foreign / Export Stout,3.88
Fruit / Vegetable Beer,3.42
German Pilsener,3.73
Gose,3.97
Gueuze,4.09
Happoshu,2.91
Hefeweizen,3.93
Herbed / Spiced Beer,3.47
Irish Dry Stout,3.78
Irish Red Ale,3.69
Japanese Rice Lager,3.12
Keller Bier / Zwickel Bier,3.98
Kristalweizen,3.72
Kvass,3.36
Kölsch,3.79
Lambic - Fruit,3.89
Lambic - Unblended,4.05
Light Lager,2.7
Low Alcohol Beer,2.58
Maibock / Helles Bock,3.83
Milk / Sweet Stout,3.89
Munich Dunkel Lager,3.71
Munich Helles Lager,3.87
Märzen / Oktoberfest,3.77
Oatmeal Stout,3.94
Old Ale,3.9
Pumpkin Ale,3.62
Quadrupel (Quad),4.07
Rauchbier,3.79
Roggenbier,3.95
Russian Imperial Stout,4.02
Rye Beer,3.98
Sahti,3.7
Saison / Farmhouse Ale,3.96
Schwarzbier,3.84
Scotch Ale / Wee Heavy,3.87
Scottish Ale,3.78
Scottish Gruit / Ancient Herbed Ale,3.69
Smoked Beer,3.76
Tripel,3.91
Vienna Lager,3.76
Weizenbock,4.01
Wheatwine,3.82
Winter Warmer,3.7
Witbier,3.78
