brewery_name,review_overall,Count
The Alchemist,4.583,527
Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),4.545,2378
Peg's Cantina & Brewpub / Cycle Brewing,4.506,79
Russian River Brewing Company,4.374,11311
Närke Kulturbryggeri AB,4.363,212
Badische Staatsbrauerei Rothaus AG,4.357,126
De Cam Geuzestekerij,4.321,159
Live Oak Brewing Company,4.313,584
Hill Farmstead Brewery,4.297,1531
Brouwerij Drie Fonteinen,4.292,1668
Kern River Brewing Company,4.291,929
Oakham Ales / The Brewery Tap,4.29,88
Bayerische Staatsbrauerei Weihenstephan,4.287,6269
Timothy Taylor & Co. Limited,4.285,144
The Alchemist Pub & Brewery,4.276,372
Brasserie de Rochefort,4.268,4494
Surly Brewing Company,4.255,6271
Klosterbrauerei Andechs,4.253,557
COAST Brewing Company,4.248,973
Minneapolis Town Hall Brewery,4.244,2914
Skull Coast Brewing Company,4.242,93
The Funky Buddha Lounge & Brewery,4.233,335
Boneyard Beer Company,4.233,88
Hart & Thistle,4.228,57
Selin's Grove Brewing Company,4.227,728
Berwick Brewing Company,4.22,116
Odonata Beer Company,4.219,89
Maine Beer Company,4.218,818
Alpine Beer Company,4.213,2947
Brouwerij St. Bernardus NV,4.208,6489
Trapp Family Lodge Brewery,4.196,51
Anchorage Brewing Company,4.192,263
Privatbrauerei Franz Inselkammer KG / Brauerei Aying,4.187,5291
Bar Harbor Brewing Company,4.182,833
Brasserie Theillier,4.182,96
Brasserie Cantillon,4.181,4873
Driftwood Brewery,4.179,268
The Bier Brewery,4.179,53
Brouwerij Westmalle,4.179,2504
Central City Brewing,4.176,649
AleSmith Brewing Company,4.172,6313
Jack's Abby Brewing,4.169,59
Three Floyds Brewing Co. & Brewpub,4.167,14039
The Olde Mecklenburg Brewery,4.164,140
Brouwerij Duvel Moortgat NV,4.162,4266
Denison's Brewing Company,4.161,90
The Kernel Brewery,4.16,97
Firestone Walker Brewing Co.,4.158,5527
Moonlight Brewing Company,4.158,564
Beachwood BBQ & Brewing,4.155,97
Five Seasons North,4.154,120
Bear Republic Brewing Co.,4.153,7861
Brouwerij Girardin,4.153,619
Elk Creek Cafe & Aleworks,4.153,95
Olvalde Farm & Brewing Company,4.15,50
The Cambridge House Brewpub,4.15,270
FiftyFifty Brewing Co.,4.149,643
Harriet Brewing,4.148,61
Tequesta Brewing Company,4.146,72
Lunar Brewing,4.145,179
Gueuzerie Tilquin,4.142,134
Fuller Smith & Turner PLC,4.139,5131
Bières de Chimay S.A.,4.139,4977
Brasserie Dupont sprl,4.134,2987
Deschutes Brewery,4.133,10881
Thornbridge Brewery,4.129,290
Ballast Point Brewing Company,4.129,4975
Heater Allen Brewing,4.129,120
De Struise Brouwers,4.129,3866
Steel Toe Brewing,4.127,79
Wormtown Brewing Co.,4.126,214
Good People Brewing Company,4.125,275
Montana Brewing Company,4.125,52
New Orleans Lager & Ale Brewing Company (NOLA),4.123,150
Lawson's Finest Liquids,4.123,610
Brauerei Früh Am Dom,4.119,63
Dry Dock Brewing Co.,4.119,302
Portsmouth Brewery,4.118,2082
Leelanau Brewing Company,4.118,123
KleinBrouwerij De Glazen Toren,4.117,412
Founders Brewing Company,4.115,20004
Brasserie de l'Abbaye des Rocs s.a.,4.114,1371
Cascade Brewing / Raccoon Lodge & Brewpub,4.11,1245
Great Lakes Brewing Company,4.108,10943
Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,4.107,882
High Point Brewing Company,4.106,601
Brasserie Fantôme,4.105,3003
Pelican Pub & Brewery,4.104,907
Brasserie d'Orval S.A.,4.103,1938
Brasserie d'Achouffe,4.103,2704
Weisses Bräuhaus G. Schneider & Sohn GmbH,4.103,4796
Brauerei Heinrich Reissdorf,4.101,514
Traquair House Brewery Lld,4.099,1166
Walking Man Brewing Co.,4.099,262
Brouwerij Rodenbach N.V.,4.097,1672
Brouwerij der St. Benedictusabdij de Achelse,4.096,909
Trumer Brauerei Berkeley,4.094,229
Metropolitan Brewing,4.093,248
Oy Sinebrychoff Ab,4.09,612
Glacier Brewhouse,4.088,102
