,brewery_name,Count
701,Boston Beer Company (Samuel Adams),39444
1963,Dogfish Head Brewery,33839
4950,Stone Brewing Co.,33066
4743,Sierra Nevada Brewing Co.,28751
413,"Bell's Brewery, Inc.",25191
4489,Rogue Ales,24083
2262,Founders Brewing Company,20004
5448,Victory Brewing Company,19479
3189,Lagunitas Brewing Company,16837
235,Avery Brewing Company,16107
4838,Southern Tier Brewing Company,15868
163,Anheuser-Busch,15815
2461,Great Divide Brewing Company,14935
2417,Goose Island Beer Co.,14534
5242,Three Floyds Brewing Co. & Brewpub,14039
5392,Unibroue,13921
1238,Brooklyn Brewery,13902
3799,New Belgium Brewing,13410
5553,Weyerbacher Brewing Co.,12248
5330,Tröegs Brewing Company,11842
2239,Flying Dog Brewery,11697
4538,Russian River Brewing Company,11311
3841,North Coast Brewing Co.,11280
3804,New Glarus Brewing Company,11172
2464,Great Lakes Brewing Company,10943
