,Brewery Name,Count
869,Tired Hands Brewing Company,1629
627,Other Half Brewing Company,1359
880,Trillium Brewing Company,1346
207,Cigar City Brewing,1154
264,Deschutes Brewery & Public House,1110
371,Goose Island Beer Co.,1004
373,Gordon Biersch Brewery & Restaurant,954
835,The Bruery,909
798,Stone Brewing,824
799,Stone Brewing Co. - Richmond,824
569,Modern Times Beer,814
853,The Veil Brewing Co.,785
761,Sierra Nevada Brewery & Taproom,754
448,Imperial Oak Brewing,752
829,The Answer Brewpub,742
375,Granite City Food & Brewery,711
564,Minneapolis Town Hall Brewery,701
878,Tree House Brewing Company,660
178,Burial Beer Co.,660
458,J. Wakefield Brewing,657
573,Monkish Brewing Co.,642
757,Short's Brewing Company,627
30,Adroit Theory Brewing Company,625
1,10 Barrel Brewing Co.,614
152,Bottle Logic Brewing,588
