Beer Type,Avg Rating
Altbier,3.37
Barleywine - American,3.8
Barleywine - English,3.81
Bitter - English,3.44
Bitter - English Extra Special / Strong Bitter (ESB),3.29
Bière de Champagne / Bière Brut,3.48
Blonde Ale - American,3.18
Blonde Ale - Belgian,3.15
Bock - Doppelbock,3.63
Bock - Eisbock,4.1
Bock - Maibock,3.38
Bock - Traditional,3.09
Bock - Weizenbock,3.72
Braggot,3.64
Brett Beer,3.61
Brown Ale - American,3.37
Brown Ale - Belgian Dark,3.55
Brown Ale - English,3.36
California Common / Steam Beer,3.45
Chile Beer,3.45
Cream Ale,3.17
Dubbel,3.4
Farmhouse Ale - Bière de Garde,3.59
Farmhouse Ale - Sahti,3.47
Farmhouse Ale - Saison,3.52
Fruit and Field Beer,3.32
Gruit / Ancient Herbed Ale,3.33
Happoshu,3.89
Herb and Spice Beer,3.29
IPA - American,3.6
IPA - Belgian,3.57
IPA - Black / Cascadian Dark Ale,3.62
IPA - Brut,3.13
IPA - English,3.55
IPA - Imperial,3.83
IPA - New England,3.77
India Pale Ales,2.03
Kvass,3.4
Kölsch,3.28
Lager - Adjunct,3.11
Lager - American,3.29
Lager - American Amber / Red,3.28
Lager - European / Dortmunder Export,3.57
Lager - European Dark,3.45
Lager - European Pale,3.35
Lager - European Strong,3.33
Lager - Helles,3.45
Lager - India Pale Lager (IPL),3.24
Lager - Japanese Rice,3.03
Lager - Kellerbier / Zwickelbier,3.64
Lager - Light,2.7
Lager - Malt Liquor,2.77
Lager - Munich Dunkel,3.28
Lager - Märzen / Oktoberfest,3.27
Lager - Rauchbier,3.58
Lager - Schwarzbier,3.57
Lager - Vienna,3.26
Lambic - Faro,4.16
Lambic - Fruit,3.85
Lambic - Gueuze,2.89
Lambic - Traditional,3.58
Low Alcohol Beer,2.8
Mild Ale - English Dark,3.6
Mild Ale - English Pale,3.25
Old Ale,3.63
Pale Ale - American,3.46
Pale Ale - Belgian,3.4
Pale Ale - English,3.4
Pilsner - Bohemian / Czech,3.38
Pilsner - German,3.39
Pilsner - Imperial,3.77
Porter - American,3.49
Porter - Baltic,3.55
Porter - English,3.47
Porter - Imperial,3.91
Porter - Robust,3.73
Porter - Smoked,3.73
Pumpkin Beer,3.54
Quadrupel (Quad),3.68
Red Ale - American Amber / Red,3.38
Red Ale - Imperial,3.61
Red Ale - Irish,3.2
Rye Beer,3.49
Rye Beer - Roggenbier,3.59
Scotch Ale / Wee Heavy,3.62
Scottish Ale,3.52
Smoked Beer,3.5
Sour - Berliner Weisse,3.54
Sour - Flanders Oud Bruin,3.38
Sour - Flanders Red Ale,3.6
Sour - Fruited Kettle Sour,3.62
Sour - Gose,3.4
Stout - American,3.52
Stout - American Imperial,3.9
Stout - English,3.17
Stout - Foreign / Export,3.69
Stout - Irish Dry,3.41
Stout - Oatmeal,3.63
Stout - Russian Imperial,3.83
Stout - Sweet / Milk,3.62
Strong Ale - American,3.78
Strong Ale - Belgian Dark,3.47
Strong Ale - Belgian Pale,3.55
Strong Ale - English,3.57
Tripel,3.5
Wheat Beer - American Dark,3.58
Wheat Beer - American Pale,3.22
Wheat Beer - Dunkelweizen,3.14
Wheat Beer - Hefeweizen,3.33
Wheat Beer - Kristallweizen,3.46
Wheat Beer - Wheatwine,3.71
Wheat Beer - Witbier,3.26
Wild Ale,3.63
Wild/Sour Beers,3.25
Winter Warmer,3.5
