Beer Type,Count
Altbier,759
Barleywine - American,1760
Barleywine - English,944
Bitter - English,615
Bitter - English Extra Special / Strong Bitter (ESB),1042
Bière de Champagne / Bière Brut,30
Blonde Ale - American,2508
Blonde Ale - Belgian,278
Bock - Doppelbock,918
Bock - Eisbock,52
Bock - Maibock,651
Bock - Traditional,541
Bock - Weizenbock,533
Braggot,183
Brett Beer,391
Brown Ale - American,3385
Brown Ale - Belgian Dark,501
Brown Ale - English,1091
California Common / Steam Beer,427
Chile Beer,503
Cream Ale,1059
Dubbel,964
Farmhouse Ale - Bière de Garde,481
Farmhouse Ale - Sahti,68
Farmhouse Ale - Saison,9288
Fruit and Field Beer,3456
Gruit / Ancient Herbed Ale,189
Happoshu,1
Herb and Spice Beer,819
IPA - American,24676
IPA - Belgian,1089
IPA - Black / Cascadian Dark Ale,1653
IPA - Brut,412
IPA - English,534
IPA - Imperial,13830
IPA - New England,9671
India Pale Ales,2
Kvass,54
Kölsch,1486
Lager - Adjunct,488
Lager - American,1843
Lager - American Amber / Red,460
Lager - European / Dortmunder Export,235
Lager - European Dark,243
Lager - European Pale,129
Lager - European Strong,18
Lager - Helles,689
Lager - India Pale Lager (IPL),346
Lager - Japanese Rice,96
Lager - Kellerbier / Zwickelbier,329
Lager - Light,646
Lager - Malt Liquor,340
Lager - Munich Dunkel,269
Lager - Märzen / Oktoberfest,1133
Lager - Rauchbier,341
Lager - Schwarzbier,917
Lager - Vienna,614
Lambic - Faro,3
Lambic - Fruit,357
Lambic - Gueuze,44
Lambic - Traditional,101
Low Alcohol Beer,52
Mild Ale - English Dark,574
Mild Ale - English Pale,217
Old Ale,614
Pale Ale - American,9910
Pale Ale - Belgian,1712
Pale Ale - English,466
Pilsner - Bohemian / Czech,1093
Pilsner - German,1954
Pilsner - Imperial,322
Porter - American,4554
Porter - Baltic,957
Porter - English,489
Porter - Imperial,908
Porter - Robust,124
Porter - Smoked,265
Pumpkin Beer,1141
Quadrupel (Quad),873
Red Ale - American Amber / Red,3506
Red Ale - Imperial,307
Red Ale - Irish,732
Rye Beer,1126
Rye Beer - Roggenbier,159
Scotch Ale / Wee Heavy,1404
Scottish Ale,866
Smoked Beer,537
Sour - Berliner Weisse,3256
Sour - Flanders Oud Bruin,400
Sour - Flanders Red Ale,347
Sour - Fruited Kettle Sour,3858
Sour - Gose,2065
Stout - American,4607
Stout - American Imperial,11596
Stout - English,257
Stout - Foreign / Export,304
Stout - Irish Dry,1025
Stout - Oatmeal,1290
Stout - Russian Imperial,2320
Stout - Sweet / Milk,3188
Strong Ale - American,1388
Strong Ale - Belgian Dark,1062
Strong Ale - Belgian Pale,1212
Strong Ale - English,158
Tripel,1642
Wheat Beer - American Dark,226
Wheat Beer - American Pale,2312
Wheat Beer - Dunkelweizen,567
Wheat Beer - Hefeweizen,1810
Wheat Beer - Kristallweizen,46
Wheat Beer - Wheatwine,370
Wheat Beer - Witbier,2300
Wild Ale,8545
Wild/Sour Beers,4
Winter Warmer,683
