,State,Avg Rating
32,New York,3.95
21,Massachusetts,3.8
4,California,3.79
45,Vermont,3.78
22,Michigan,3.74
33,North Carolina,3.72
30,New Jersey,3.69
35,Ohio,3.69
13,Illinois,3.65
5,Colorado,3.65
6,Connecticut,3.64
38,Pennsylvania,3.63
19,Maine,3.63
25,Missouri,3.62
14,Indiana,3.62
37,Oregon,3.61
23,Minnesota,3.61
43,Texas,3.59
9,Florida,3.58
46,Virginia,3.58
20,Maryland,3.56
49,Wisconsin,3.55
42,Tennessee,3.5
29,New Hampshire,3.47
47,Washington,3.47
31,New Mexico,3.43
39,Rhode Island,3.42
7,Delaware,3.41
10,Georgia,3.38
8,District of Columbia,3.37
12,Idaho,3.34
44,Utah,3.33
16,Kansas,3.29
15,Iowa,3.29
18,Louisiana,3.27
24,Mississippi,3.26
36,Oklahoma,3.25
11,Hawaii,3.22
1,Alaska,3.22
17,Kentucky,3.18
28,Nevada,3.16
40,South Carolina,3.1
34,North Dakota,3.07
50,Wyoming,3.05
0,Alabama,3.0
26,Montana,3.0
2,Arizona,2.99
27,Nebraska,2.94
41,South Dakota,2.79
48,West Virginia,2.55
3,Arkansas,2.25
