,State,Num of Ratings
21,Massachusetts,493332
22,Michigan,426662
4,California,375564
37,Oregon,349884
7,Delaware,341712
33,North Carolina,296487
5,Colorado,276401
13,Illinois,255757
46,Virginia,251482
25,Missouri,235239
45,Vermont,205623
32,New York,189649
38,Pennsylvania,173606
35,Ohio,165552
14,Indiana,151400
9,Florida,136238
23,Minnesota,122142
19,Maine,98386
20,Maryland,97521
10,Georgia,80657
44,Utah,67741
49,Wisconsin,58592
36,Oklahoma,58194
29,New Hampshire,56911
47,Washington,55104
6,Connecticut,52421
43,Texas,49935
18,Louisiana,47726
15,Iowa,46991
40,South Carolina,45679
30,New Jersey,45352
1,Alaska,39125
11,Hawaii,33911
42,Tennessee,21982
17,Kentucky,18969
8,District of Columbia,17354
39,Rhode Island,16244
31,New Mexico,15738
27,Nebraska,15664
12,Idaho,15057
26,Montana,14818
28,Nevada,14501
0,Alabama,12088
16,Kansas,11929
2,Arizona,11567
50,Wyoming,8172
24,Mississippi,7748
34,North Dakota,5471
41,South Dakota,4799
3,Arkansas,3390
48,West Virginia,2567
