,State,Avg Rating
32,New York,3.900699999999999
4,California,3.78985
22,Michigan,3.73135
21,Massachusetts,3.7114210526315796
33,North Carolina,3.6966500000000004
5,Colorado,3.6889999999999996
45,Vermont,3.6792499999999997
38,Pennsylvania,3.632133333333333
13,Illinois,3.6288888888888895
6,Connecticut,3.612400000000001
25,Missouri,3.5992500000000005
35,Ohio,3.5939500000000004
43,Texas,3.561699999999999
30,New Jersey,3.5459000000000005
14,Indiana,3.5442500000000003
19,Maine,3.5340000000000003
37,Oregon,3.530842105263158
20,Maryland,3.4894499999999993
23,Minnesota,3.4811500000000004
9,Florida,3.4530000000000003
49,Wisconsin,3.4502500000000005
46,Virginia,3.4260526315789472
29,New Hampshire,3.3998999999999997
47,Washington,3.3070500000000003
31,New Mexico,3.2668500000000003
39,Rhode Island,3.22245
42,Tennessee,3.2086999999999994
16,Kansas,3.158736842105263
10,Georgia,3.1548
12,Idaho,3.1353500000000003
44,Utah,3.1064736842105254
18,Louisiana,3.0244500000000003
28,Nevada,3.0182
40,South Carolina,3.01255
7,Delaware,2.997722222222223
15,Iowa,2.989722222222222
27,Nebraska,2.937736842105263
41,South Dakota,2.8684499999999993
1,Alaska,2.8663499999999997
26,Montana,2.8098500000000004
2,Arizona,2.7853000000000003
50,Wyoming,2.776
17,Kentucky,2.7556499999999993
34,North Dakota,2.70815
11,Hawaii,2.6756
0,Alabama,2.629600000000001
24,Mississippi,2.597285714285714
36,Oklahoma,2.4291999999999994
48,West Virginia,2.3776000000000006
8,District of Columbia,2.3648888888888893
3,Arkansas,2.1546499999999997
