,Brewery Name,Num of Ratings
761,Sierra Nevada Brewery & Taproom,184520
798,Stone Brewing,180251
799,Stone Brewing Co. - Richmond,180251
339,Founders Brewing Company,170664
275,Dogfish Head Brewings & Eats,159748
276,Dogfish Head Craft Brewery,159747
149,Boston Beer Company (Samuel Adams),156868
264,Deschutes Brewery & Public House,149951
52,Anheuser-Busch,137250
103,Bell's Brewery - Eccentric Café & General Store,124808
880,Trillium Brewing Company,123235
371,Goose Island Beer Co.,119874
7,3 Floyds Brewing Co.,103924
207,Cigar City Brewing,80838
913,Victory Brewing Company - Downingtown,80657
263,Deschutes Brewery,74975
422,Hill Farmstead Brewery,70565
835,The Bruery,69339
878,Tree House Brewing Company,68851
720,Rogue Ales,67773
153,Boulevard Brewing Co.,63630
625,Oskar Blues Brewery & Tasty Weasel Tap Room,54749
624,Oskar Blues Brewery,54749
626,Oskar Blues Grill & Brew,54748
381,Great Lakes Brewing Co.,53495
