Brewery Name,City,State,Avg Rating
10 Barrel Brewing - Portland Pub,Portland,Oregon,3.71
10 Barrel Brewing Co.,Bend,Oregon,3.71
10 Barrel Brewing Co.,Boise,Idaho,3.71
12 West Brewing Co.,Gilbert,Arizona,0.82
14th Star Brewing Co.,Saint Albans,Vermont,3.49
18th Street Brewery - Gary Taproom,Gary,Indiana,3.888
2 Row Brewing,Midvale,Utah,3.768
2nd Shift Brewing,Saint Louis,Missouri,3.778
3 Floyds Brewing Co.,Munster,Indiana,3.909
3 Sheeps Brewing,Sheboygan,Wisconsin,3.762
3 Sons Brewing Company,Dania Beach,Florida,3.836
3 Stars Brewing Company,Washington,District of Columbia,3.488
3rd Turn Brewing,Jefferstown,Kentucky,0.364
4 Hands Brewing Co.,Saint Louis,Missouri,3.856
405 Brewing Co.,Norman,Oklahoma,2.156
406 Brewing Company,Bozeman,Montana,1.7
450 North Brewing Company,Columbus,Indiana,3.803
49th State Brewing Company,Healy,Alaska,3.56
515 Brewing Company,Clive,Iowa,3.428
603 Brewery,Londonderry,New Hampshire,3.534
608 Brewing Company,La Crosse,Wisconsin,3.386
7venth (Seventh) Sun Brewery,Dunedin,Florida,3.59
888 Lucky Beer,Washington,District of Columbia,0.962
903 Brewers,Sherman,Texas,3.506
A Homestead Brew,Valley Springs,South Dakota,2.194
Aardwolf Brewing Company,Jacksonville,Florida,3.98
Abita Brewing Co.,Covington,Louisiana,3.508
Able Baker Brewing Co.,Las Vegas,Nevada,2.859
Abolitionist Ale Works,Charles Town,West Virginia,2.506
Abridged Beer Company,Knoxville,Tennessee,1.833
Accomplice Beer Company,Cheyenne,Wyoming,3.414
Adroit Theory Brewing Company,Purcellville,Virginia,3.517
Aeronaut Brewing Company,Somerville,Massachusetts,3.319
Afterthought Brewing Company,Lombard,Illinois,3.5
Against The Grain Brewery & Smokehouse,Louisville,Kentucky,3.478
Akademia Brewing Company,Athens,Georgia,3.391
Akasha Brewing Company,Louisville,Kentucky,3.255
Al's of Hampden / Pizza Boy Brewing,Enola,Pennsylvania,3.735
Alaskan Brewing Co.,Juneau,Alaska,3.689
Alexandria Brewing Company,Alexandria,Kentucky,1.799
Alibi Ale Works,Incline Village,Nevada,2.089
Allagash Brewing Company,Portland,Maine,3.92
Alluvial Brewing Company,Ames,Iowa,2.71
Alma Mader Brewing,Kansas City,Missouri,3.659
Aloha Beer Company,Honolulu,Hawaii,2.522
Alpha Brewing Company,Saint Louis,Missouri,3.324
Altitude Chophouse & Brewery,Laramie,Wyoming,2.76
Alvarado Street Brewery,Monterey,California,3.791
American Solera,Tulsa,Oklahoma,3.617
Amor Artis Brewing,Fort Mill,South Carolina,3.426
Anchorage Brewing Company,Anchorage,Alaska,4.183
Angry Chair Brewing,Tampa,Florida,4.004
Angry Scotsman Brewing,Oklahoma City,Oklahoma,2.247
Anheuser-Busch,Fort Collins,Colorado,2.721
Anheuser-Busch,Saint Louis,Missouri,2.721
Anthem Brewing Company,Oklahoma City,Oklahoma,3.532
Apponaug Brewing Company,Warwick,Rhode Island,3.063
Arbor Brewing - Plymouth Taproom,Plymouth,Michigan,3.512
Argilla Brewing Co.,Newark,Delaware,3.35
Arizona Wilderness Brewing Co.,Gilbert,Arizona,3.373
Arkane Aleworks,Largo,Florida,3.185
Arkose Brewery,Palmer,Alaska,2.299
Arvon Brewing Co.,Grand Rapids,Michigan,3.459
Ascension Brewing Company,Novi,Michigan,3.544
Aslan Brewing Company,Bellingham,Washington,3.148
Aslin Beer Company,Herndon,Virginia,3.939
Ass Clown Brewing,Cornelius,North Carolina,3.427
Atlas Brew Works,Washington,District of Columbia,2.989
Atypical Brewery & Barrelworks,Minot,North Dakota,1.352
Austin Beerworks,Austin,Texas,3.72
Austin Brothers Beer Co.,Alpena,Michigan,3.809
Austin Street Brewery,Portland,Maine,3.648
Avenues Proper Brewing,Salt Lake City,Utah,1.48
Avondale Brewing Co.,Birmingham,Alabama,3.501
B-52 Brewing Co.,Conroe,Texas,3.813
BJ's Restaraunt & Brewhouse,Reno,Nevada,3.189
BKS Artisan Ales,Kansas City,Missouri,3.97
Baa Baa Brewhouse,Brookshire,Texas,3.931
Back Forty Beer Co.,Gadsden,Alabama,2.7
Backpocket Brewing,Coralville,Iowa,3.585
Backyard Brewery & Kitchen,Manchester,New Hampshire,3.883
Bad Beat Brewing,Henderson,Nevada,3.737
Bad Habit Brewing Company,Saint Joseph,Minnesota,1.952
Bad Shepherd Beer Company / Black Sheep Burrito and Brews,Charleston,West Virginia,2.571
Banded Brewing Co.,Biddeford,Maine,3.408
Bandit Brewing Company,Darby,Montana,0.317
Banger Brewing,Las Vegas,Nevada,3.525
Barbarian Brewing,Garden City,Idaho,3.625
Bardo Brewpub,Washington,District of Columbia,1.533
Bare Hands Brewery,Granger,Indiana,3.904
Barn Town Brewing,West Des Moines,Iowa,3.667
Barrel Culture Brewing and Blending,Durham,North Carolina,3.035
Barrel Theory Beer Company,Saint Paul,Minnesota,3.883
Barreled Souls Brewing Company,Saco,Maine,3.711
Barrier Brewing Company,Oceanside,New York,3.901
Batch Brewing Company,Detroit,Michigan,3.495
Battered Boar Brewing Company,Edmond,Oklahoma,1.738
Battery Steele Brewing,Portland,Maine,3.911
Bayou Teche Brewery,Arnaudville,Louisiana,3.7
Bearded Iris Brewing,Nashville,Tennessee,4.105
Beavers Bend Brewery,Broken Bow,Oklahoma,0.599
Beer Lab HI,Honolulu,Hawaii,2.044
Beer On Earth,Providence,Rhode Island,3.131
Beer Tree Brew Co.,Port Crane,New York,4.097
Beer'd Brewing Co.,Stonington,Connecticut,3.753
Bell's Brewery - Eccentric Café & General Store,Kalamazoo,Michigan,3.765
Bellefonte Brewing Co.,Wilmington,Delaware,3.157
Below the Radar Brewhouse,Huntsville,Alabama,2.361
Ben's Brewing Co.,Yankton,South Dakota,2.07
Bentonville Brewing Co.,Bentonville,Arkansas,2.916
Berkeley Springs Brewing,Berkeley Springs,West Virginia,1.567
Bicentennial Beer Company,Jackson,Mississippi,3.853
Big Dog's Draft House,Las Vegas,Nevada,3.808
Big Grove Brewery,Solon,Iowa,3.861
Big Grove Brewery & Taproom,Iowa City,Iowa,3.347
Big Island Brewhaus & Tako Taco Taqueria,Kamuela,Hawaii,3.025
Big Oyster Brewery,Lewes,Delaware,3.054
Big Sky Brewing Company,Missoula,Montana,3.614
Big Timber Brewing,Elkins,West Virginia,3.506
Bike Rack Brewing Co.,Bentonville,Arkansas,3.134
Bircus Brewing Company,Ludlow,Kentucky,3.424
Bird Dog Brewing,Bismarck,North Dakota,2.557
Birdfish Brewing Company,Columbiana,Ohio,2.276
Birds Fly South Ale Project,Greenville,South Carolina,3.822
Birmingham District Brewing,Birmingham,Alabama,1.934
Bismarck Brewing,Bismarck,North Dakota,3.137
Bissell Brothers Brewing Co.,Portland,Maine,3.911
Bitter Root Brewing,Hamilton,Montana,3.473
Black Acre Brewing Co.,Indianapolis,Indiana,3.561
Black Flag Brewing Company,Columbia,Maryland,3.034
Black Hog Brewing Co.,Oxford,Connecticut,3.328
Black Leg Brewery,McKenzie,North Dakota,0.738
Black Project Spontaneous & Wild Ales,Denver,Colorado,3.866
Black Tooth Brewing Company,Sheridan,Wyoming,3.594
BlackStack Brewing,Saint Paul,Minnesota,3.373
Blackberry Farm Brewery,Maryville,Tennessee,3.728
Blackfoot River Brewing Company,Helena,Montana,2.369
Blackstone Brewing Company,Nashville,Tennessee,3.549
Blaze Brewing Company,Camden,Maine,1.608
Blind Tiger Brewery & Restaurant,Topeka,Kansas,3.573
Block 15 Brewery & Restaurant,Corvallis,Oregon,3.832
Blue Earl Brewing Company,Smyrna,Delaware,2.671
Blue Stallion Brewing Co.,Lexington,Kentucky,3.579
Bluejacket / Arsenal Restaurant,Washington,District of Columbia,3.76
Bohemian Brewery,Midvale,Utah,3.058
Boiler Brewing Co.,Lincoln,Nebraska,2.211
Boise Brewing,Boise,Idaho,3.625
Bolero Snort Brewery,Carlstadt,New Jersey,3.648
Books & Brews,Indianapolis,Indiana,3.737
Boscos Restaurant & Brewing Co.,Memphis,Tennessee,3.359
Bosque Brewing Co.,Albuquerque,New Mexico,3.62
Boston Beer Company (Samuel Adams),Jamaica Plain,Massachusetts,3.445
Boston Beer Works - Canal Street,Boston,Massachusetts,3.515
Boston Beer Works - Fenway,Boston,Massachusetts,3.515
Bottle Logic Brewing,Anaheim,California,3.914
Boulevard Brewing Co.,Kansas City,Missouri,3.841
Boundary Bay Brewery & Bistro,Bellingham,Washington,3.377
Bow & Arrow Brewing,Albuquerque,New Mexico,3.292
Boxing Bear Brewing Co.,Albuquerque,New Mexico,3.49
Bozeman Brewing Company,Bozeman,Montana,3.153
Braindead Brewing,Dallas,Texas,2.889
Branch & Bone Artisan Ales,Dayton,Ohio,3.577
Branch and Blade Brewing,Keene,New Hampshire,3.077
Brasserie Saint James,Reno,Nevada,3.651
Braxton Brewing Company,Covington,Kentucky,3.501
Breakside Brewery,Portland,Oregon,3.559
Brew Keepers,Wheeling,West Virginia,0.441
Brewery Vivant,Grand Rapids,Michigan,3.62
Brewfinity Brewing Company,Oconomowoc,Wisconsin,2.656
Brick Works Brewing & Eats,Smyrna,Delaware,1.453
Brickway Brewery & Distillery,Omaha,Nebraska,3.599
Bridge Brew Works LLC,Fayetteville,West Virginia,3.698
Brieux Carré Brewing Company,New Orleans,Louisiana,3.349
Brix City Brewing,Little Ferry,New Jersey,3.919
Broadway Brewery & Restaurant,Columbia,Missouri,3.535
Broken Boundary Brewery,Honolulu,Hawaii,3.081
Broken Tooth Brewing,Anchorage,Alaska,2.769
Buffalo Bayou Brewing Co,Houston,Texas,3.06
Buffalo Commons Brewing Company,Mandan,North Dakota,3.703
Bunker Brewing Co.,Portland,Maine,3.381
Burial Beer Co.,Asheville,North Carolina,3.937
Burley Oak Brewing Co.,Berlin,Maryland,3.719
Burlington Beer Co.,Williston,Vermont,3.981
